k_index,k_distance,k_label,band_1,band_2,band_3,band_4,band_5,band_6,band_7
27,0.381838,,-0.162225,-1.761529,-3.392756,-5.019490,1.133157,2.723768,4.371440
28,0.395980,,-0.140534,-1.730198,-3.355448,-4.981345,1.114078,2.691832,4.330277
29,0.410122,,-0.120375,-1.700273,-3.319140,-4.943789,1.096902,2.661768,4.290476
30,0.424264,,-0.101770,-1.671821,-3.283915,-4.906879,1.081630,2.633644,4.252147
31,0.438406,,-0.084738,-1.644903,-3.249856,-4.870681,1.068252,2.607520,4.215398
32,0.452548,,-0.069290,-1.619580,-3.217047,-4.835265,1.056751,2.583447,4.180335
33,0.466690,,-0.055430,-1.595904,-3.185573,-4.800707,1.047102,2.561471,4.147060
34,0.480833,,-0.043158,-1.573924,-3.155515,-4.767084,1.039269,2.541626,4.115668
35,0.494975,,-0.032466,-1.553684,-3.126956,-4.734481,1.033210,2.523939,4.086252
36,0.509117,,-0.023341,-1.535221,-3.099972,-4.702983,1.028876,2.508426,4.058896
37,0.523259,,-0.015763,-1.518566,-3.074640,-4.672679,1.026208,2.495097,4.033680
38,0.537401,,-0.009707,-1.503744,-3.051033,-4.643659,1.025144,2.483949,4.010675
39,0.551543,,-0.005142,-1.490774,-3.029217,-4.616014,1.025612,2.474973,3.989943
40,0.565685,,-0.002031,-1.479666,-3.009257,-4.589834,1.027535,2.468147,3.971540
41,0.579828,,-0.000333,-1.470426,-2.991209,-4.565211,1.030834,2.463443,3.955511
42,0.593970,,0.000000,-1.463053,-2.975128,-4.542233,1.035421,2.460824,3.941892
43,0.608112,,-0.000982,-1.457536,-2.961058,-4.520989,1.041206,2.460242,3.930712
44,0.622254,,-0.003224,-1.453860,-2.949041,-4.501562,1.048098,2.461644,3.921986
45,0.636396,,-0.006667,-1.452003,-2.939109,-4.484035,1.055999,2.464967,3.915722
46,0.650538,,-0.011249,-1.451936,-2.931288,-4.468484,1.064814,2.470140,3.911918
47,0.664680,,-0.016906,-1.453625,-2.925599,-4.454984,1.074444,2.477089,3.910561
48,0.678823,,-0.023571,-1.457028,-2.922052,-4.443601,1.084792,2.485730,3.911629
49,0.692965,,-0.031175,-1.462098,-2.920651,-4.434398,1.095759,2.495976,3.915088
50,0.707107,¦£,-0.039649,-1.468785,-2.921395,-4.427431,1.107250,2.507734,3.920899
51,0.725478,,-0.028806,-1.460410,-2.920845,-4.436918,1.092420,2.492750,3.913805
52,0.743849,,-0.019467,-1.454789,-2.923915,-4.450151,1.078522,2.480364,3.910700
53,0.762220,,-0.011783,-1.452030,-2.930604,-4.466999,1.065769,2.470775,3.911666
54,0.780591,,-0.005900,-1.452225,-2.940891,-4.487319,1.054374,2.464167,3.916757
55,0.798963,,-0.001960,-1.455451,-2.954733,-4.510949,1.044553,2.460706,3.925999
56,0.817334,,-0.000096,-1.461766,-2.972067,-4.537717,1.036516,2.460539,3.939392
57,0.835705,,-0.000433,-1.471209,-2.992810,-4.567439,1.030470,2.463793,3.956904
58,0.854076,,-0.003081,-1.483801,-3.016862,-4.599924,1.026612,2.470570,3.978479
59,0.872447,,-0.008141,-1.499542,-3.044105,-4.634975,1.025128,2.480948,4.004031
60,0.890819,,-0.015698,-1.518415,-3.074405,-4.672394,1.026191,2.494979,4.033448
61,0.909190,,-0.025822,-1.540380,-3.107615,-4.711980,1.029956,2.512692,4.066597
62,0.927561,,-0.038567,-1.565382,-3.143576,-4.753538,1.036563,2.534084,4.103318
63,0.945932,,-0.053970,-1.593346,-3.182119,-4.796876,1.046130,2.559131,4.143432
64,0.964303,,-0.072051,-1.624180,-3.223069,-4.841809,1.058755,2.587780,4.186743
65,0.982674,,-0.092811,-1.657778,-3.266243,-4.888165,1.074512,2.619952,4.233038
66,1.001046,,-0.116235,-1.694018,-3.311459,-4.935782,1.093452,2.655545,4.282092
67,1.019417,,-0.142290,-1.732766,-3.358532,-4.984514,1.115601,2.694433,4.333669
68,1.037788,,-0.170925,-1.773876,-3.407280,-5.034231,1.140961,2.736469,4.387529
69,1.056159,,-0.202073,-1.817195,-3.457526,-5.084822,1.169508,2.781488,4.443424
70,1.074530,,-0.235653,-1.862561,-3.509101,-5.136196,1.201197,2.829305,4.501111
71,1.092901,,-0.271568,-1.909809,-3.561843,-5.188280,1.235954,2.879721,4.560348
72,1.111273,,-0.309708,-1.958771,-3.615602,-5.241028,1.273685,2.932527,4.620897
73,1.129644,,-0.349951,-2.009276,-3.670243,-5.294413,1.314276,2.987502,4.682533
74,1.148015,,-0.392167,-2.061160,-3.725645,-5.348431,1.357589,3.044420,4.745042
75,1.166386,,-0.436216,-2.114258,-3.781704,-5.403103,1.403471,3.103051,4.808225
76,1.184757,,-0.481952,-2.168414,-3.838334,-5.458472,1.451752,3.163165,4.871902
77,1.203128,,-0.529224,-2.223481,-3.895468,-5.514602,1.502246,3.224535,4.935912
78,1.221500,,-0.577880,-2.279321,-3.953061,-5.571580,1.554757,3.286939,5.000118
79,1.239871,,-0.627765,-2.335808,-4.011087,-5.629512,1.609082,3.350165,5.064406
80,1.258242,,-0.678728,-2.392830,-4.069542,-5.688523,1.665009,3.414010,5.128689
81,1.276613,,-0.730621,-2.450291,-4.128443,-5.748755,1.722324,3.478288,5.192906
82,1.294984,,-0.783301,-2.508111,-4.187828,-5.810366,1.780812,3.542828,5.257025
83,1.313355,,-0.836632,-2.566229,-4.247756,-5.873526,1.840261,3.607479,5.321041
84,1.331727,,-0.890490,-2.624600,-4.308304,-5.938416,1.900462,3.672110,5.384978
85,1.350098,,-0.944759,-2.683200,-4.369570,-6.005226,1.961218,3.736613,5.448888
86,1.368469,,-0.999337,-2.742025,-4.431669,-6.074152,2.022339,3.800905,5.512851
87,1.386840,,-1.054135,-2.801088,-4.494731,-6.145393,2.083649,3.864928,5.576971
88,1.405211,,-1.109080,-2.860423,-4.558899,-6.219147,2.144989,3.928648,5.641379
89,1.423583,,-1.164113,-2.920082,-4.624332,-6.295613,2.206216,3.992060,5.706229
90,1.441954,,-1.219196,-2.980137,-4.691194,-6.374984,2.267207,4.055186,5.771695
91,1.460325,,-1.274303,-3.040675,-4.759662,-6.457444,2.327859,4.118071,5.837970
92,1.478696,,-1.329430,-3.101800,-4.829915,-6.543171,2.388093,4.180789,5.905264
93,1.497067,,-1.384588,-3.163631,-4.902138,-6.632327,2.447853,4.243436,5.973799
94,1.515438,,-1.439807,-3.226299,-4.976513,-6.725064,2.507108,4.306135,6.043810
95,1.533810,,-1.495134,-3.289947,-5.053224,-6.821513,2.565850,4.369026,6.115535
96,1.552181,,-1.550631,-3.354727,-5.132448,-6.921791,2.624097,4.432273,6.189221
97,1.570552,,-1.606377,-3.420800,-5.214359,-7.025994,2.681891,4.496055,6.265113
98,1.588923,,-1.662467,-3.488330,-5.299119,-7.134197,2.739299,4.560569,6.343453
99,1.607294,,-1.719007,-3.557485,-5.386879,-7.246453,2.796410,4.626022,6.424480
100,1.625665,K,-1.776116,-3.628434,-5.477779,-7.362794,2.853335,4.692632,6.508422
