k_index,k_distance,k_label,band_1,band_2,band_3,band_4,band_5,band_6,band_7
31,0.438406,,-0.084738,-1.644903,-3.249856,-4.870681,0.668252,2.207520,3.815398
32,0.452548,,-0.069290,-1.619580,-3.217047,-4.835265,0.656751,2.183447,3.780335
33,0.466690,,-0.055430,-1.595904,-3.185573,-4.800707,0.647102,2.161471,3.747060
34,0.480833,,-0.043158,-1.573924,-3.155515,-4.767084,0.639269,2.141626,3.715668
35,0.494975,,-0.032466,-1.553684,-3.126956,-4.734481,0.633210,2.123939,3.686252
36,0.509117,,-0.023341,-1.535221,-3.099972,-4.702983,0.628876,2.108426,3.658896
37,0.523259,,-0.015763,-1.518566,-3.074640,-4.672679,0.626208,2.095097,3.633680
38,0.537401,,-0.009707,-1.503744,-3.051033,-4.643659,0.625144,2.083949,3.610675
39,0.551543,,-0.005142,-1.490774,-3.029217,-4.616014,0.625612,2.074973,3.589943
40,0.565685,,-0.002031,-1.479666,-3.009257,-4.589834,0.627535,2.068147,3.571540
41,0.579828,,-0.000333,-1.470426,-2.991209,-4.565211,0.630834,2.063443,3.555511
42,0.593970,,0.000000,-1.463053,-2.975128,-4.542233,0.635421,2.060824,3.541892
43,0.608112,,-0.000982,-1.457536,-2.961058,-4.520989,0.641206,2.060242,3.530712
44,0.622254,,-0.003224,-1.453860,-2.949041,-4.501562,0.648098,2.061644,3.521986
45,0.636396,,-0.006667,-1.452003,-2.939109,-4.484035,0.655999,2.064967,3.515722
46,0.650538,,-0.011249,-1.451936,-2.931288,-4.468484,0.664814,2.070140,3.511918
47,0.664680,,-0.016906,-1.453625,-2.925599,-4.454984,0.674444,2.077089,3.510561
48,0.678823,,-0.023571,-1.457028,-2.922052,-4.443601,0.684792,2.085730,3.511629
49,0.692965,,-0.031175,-1.462098,-2.920651,-4.434398,0.695759,2.095976,3.515088
50,0.707107,¦£,-0.039649,-1.468785,-2.921395,-4.427431,0.707250,2.107734,3.520899
51,0.725478,,-0.028806,-1.460410,-2.920845,-4.436918,0.692420,2.092750,3.513805
52,0.743849,,-0.019467,-1.454789,-2.923915,-4.450151,0.678522,2.080364,3.510700
53,0.762220,,-0.011783,-1.452030,-2.930604,-4.466999,0.665769,2.070775,3.511666
54,0.780591,,-0.005900,-1.452225,-2.940891,-4.487319,0.654374,2.064167,3.516757
55,0.798963,,-0.001960,-1.455451,-2.954733,-4.510949,0.644553,2.060706,3.525999
56,0.817334,,-0.000096,-1.461766,-2.972067,-4.537717,0.636516,2.060539,3.539392
57,0.835705,,-0.000433,-1.471209,-2.992810,-4.567439,0.630470,2.063793,3.556904
58,0.854076,,-0.003081,-1.483801,-3.016862,-4.599924,0.626612,2.070570,3.578479
59,0.872447,,-0.008141,-1.499542,-3.044105,-4.634975,0.625128,2.080948,3.604031
60,0.890819,,-0.015698,-1.518415,-3.074405,-4.672394,0.626191,2.094979,3.633448
61,0.909190,,-0.025822,-1.540380,-3.107615,-4.711980,0.629956,2.112692,3.666597
62,0.927561,,-0.038567,-1.565382,-3.143576,-4.753538,0.636563,2.134084,3.703318
63,0.945932,,-0.053970,-1.593346,-3.182119,-4.796876,0.646130,2.159131,3.743432
64,0.964303,,-0.072051,-1.624180,-3.223069,-4.841809,0.658755,2.187780,3.786743
65,0.982674,,-0.092811,-1.657778,-3.266243,-4.888165,0.674512,2.219952,3.833038
66,1.001046,,-0.116235,-1.694018,-3.311459,-4.935782,0.693452,2.255545,3.882092
67,1.019417,,-0.142290,-1.732766,-3.358532,-4.984514,0.715601,2.294433,3.933669
68,1.037788,,-0.170925,-1.773876,-3.407280,-5.034231,0.740961,2.336469,3.987529
69,1.056159,,-0.202073,-1.817195,-3.457526,-5.084822,0.769508,2.381488,4.043424
70,1.074530,,-0.235653,-1.862561,-3.509101,-5.136196,0.801197,2.429305,4.101111
71,1.092901,,-0.271568,-1.909809,-3.561843,-5.188280,0.835954,2.479721,4.160348
72,1.111273,,-0.309708,-1.958771,-3.615602,-5.241028,0.873685,2.532527,4.220897
73,1.129644,,-0.349951,-2.009276,-3.670243,-5.294413,0.914276,2.587502,4.282533
74,1.148015,,-0.392167,-2.061160,-3.725645,-5.348431,0.957589,2.644420,4.345042
75,1.166386,,-0.436216,-2.114258,-3.781704,-5.403103,1.003471,2.703051,4.408225
76,1.184757,,-0.481952,-2.168414,-3.838334,-5.458472,1.051752,2.763165,4.471902
77,1.203128,,-0.529224,-2.223481,-3.895468,-5.514602,1.102246,2.824535,4.535912
78,1.221500,,-0.577880,-2.279321,-3.953061,-5.571580,1.154757,2.886939,4.600118
79,1.239871,,-0.627765,-2.335808,-4.011087,-5.629512,1.209082,2.950165,4.664406
80,1.258242,,-0.678728,-2.392830,-4.069542,-5.688523,1.265009,3.014010,4.728689
81,1.276613,,-0.730621,-2.450291,-4.128443,-5.748755,1.322324,3.078288,4.792906
82,1.294984,,-0.783301,-2.508111,-4.187828,-5.810366,1.380812,3.142828,4.857025
83,1.313355,,-0.836632,-2.566229,-4.247756,-5.873526,1.440261,3.207479,4.921041
84,1.331727,,-0.890490,-2.624600,-4.308304,-5.938416,1.500462,3.272110,4.984978
85,1.350098,,-0.944759,-2.683200,-4.369570,-6.005226,1.561218,3.336613,5.048888
86,1.368469,,-0.999337,-2.742025,-4.431669,-6.074152,1.622339,3.400905,5.112851
87,1.386840,,-1.054135,-2.801088,-4.494731,-6.145393,1.683649,3.464928,5.176971
88,1.405211,,-1.109080,-2.860423,-4.558899,-6.219147,1.744989,3.528648,5.241379
89,1.423583,,-1.164113,-2.920082,-4.624332,-6.295613,1.806216,3.592060,5.306229
90,1.441954,,-1.219196,-2.980137,-4.691194,-6.374984,1.867207,3.655186,5.371695
91,1.460325,,-1.274303,-3.040675,-4.759662,-6.457444,1.927859,3.718071,5.437970
92,1.478696,,-1.329430,-3.101800,-4.829915,-6.543171,1.988093,3.780789,5.505264
93,1.497067,,-1.384588,-3.163631,-4.902138,-6.632327,2.047853,3.843436,5.573799
94,1.515438,,-1.439807,-3.226299,-4.976513,-6.725064,2.107108,3.906135,5.643810
95,1.533810,,-1.495134,-3.289947,-5.053224,-6.821513,2.165850,3.969026,5.715535
96,1.552181,,-1.550631,-3.354727,-5.132448,-6.921791,2.224097,4.032273,5.789221
97,1.570552,,-1.606377,-3.420800,-5.214359,-7.025994,2.281891,4.096055,5.865113
98,1.588923,,-1.662467,-3.488330,-5.299119,-7.134197,2.339299,4.160569,5.943453
99,1.607294,,-1.719007,-3.557485,-5.386879,-7.246453,2.396410,4.226022,6.024480
100,1.625665,K,-1.776116,-3.628434,-5.477779,-7.362794,2.453335,4.292632,6.108422
